REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
2,3,8,2,1,2,1,1,4,1,0,22494,0,225.773,0,3415.078,18853.149,2780,0,27.903,0,422.064,2330.033
4,10,27,2,5,6,1,1,3,0,0,6851,0,45.693,0,1194.383,5610.924,468,0,3.121,0,81.59,383.289
3,5,15,2,4,7,2,2,3,0,1,15929,0,0,0,2922.657,13006.343,1697,0,0,0,311.366,1385.634
1,2,3,2,1,4,4,2,4,1,1,10453,0,720.541,0,1384.739,8347.72,1915,0,132.004,0,253.685,1529.311
1,2,3,3,4,3,2,1,2,1,0,5402,0,235.124,1806.207,616.251,2744.417,1393,0,60.631,465.762,158.911,707.696
2,4,10,2,1,2,2,1,4,0,1,12410,1635.436,389.248,3026.129,1225.986,6133.2,984,129.675,30.864,239.945,97.209,486.307
3,7,21,4,3,4,2,1,1,1,0,5852,1334.681,1540.385,1177.812,550.677,1248.445,921,210.055,242.429,185.367,86.667,196.483
1,1,1,4,1,1,2,1,0,0,0,5785,0,119.98,2395.639,540.905,2728.476,1399,0,29.015,579.343,130.808,659.834
3,6,19,2,4,7,1,2,2,0,0,17144,5171.903,1099.514,2549.115,2313.776,6009.692,1630,491.729,104.538,242.362,219.987,571.384
1,2,3,4,1,2,2,1,2,1,1,6548,0,0,0,1272.792,5275.208,1176,0,0,0,228.589,947.411
1,1,2,5,1,1,4,1,2,2,0,5983,0,0,2786.685,715.502,2480.813,1059,0,0,493.247,126.645,439.108
4,10,26,4,2,5,3,1,3,1,1,7767,2456.623,186.732,0,602.2,4521.444,1145,362.152,27.528,0,88.776,666.545
